id	query
q01	Emoções de tristeza em rostos
q02	Cascais
q03	Cidadãos a interagir com o Presidente de Portugal
q04	Reunião do governo português
q05	Reunião do Conselho de Ministros em Portugal
q06	Vacinações
q07	Expressões de surpresa em pessoas
q08	Presidente de Portugal em conferência de imprensa
q09	Crianças a brincar
q10	Presidente de Portugal em encontros com cidadãos
q11	Arma
q12	Visitas do Presidente de Portugal a comunidades
q13	Expressões de confiança em políticos
q14	Pintura
q15	Visitas a instituições durante a presidência de Portugal
q16	Praia
q17	Presidente de Portugal em discurso público
q18	Natação
q19	António Costa
q20	Centro Militar
q21	Serra da Estrela
q22	Palácio de Belém
q23	Supermercado
q24	Fátima
q25	Rostos de raiva e frustração
q26	Jogos Olímpicos
q27	Sorrisos de líderes políticos
q28	Presidente de Portugal em cerimónias de tomada de posse
q29	Pessoas a fazer compras
q30	Futebol
q31	Web Summit
q32	Eventos culturais com o Presidente de Portugal
q33	Mosteiro dos Jerónimos
q34	Ações do Presidente de Portugal na União Europeia
q35	Reuniões do Presidente de Portugal com associações
q36	Bombeiros
q37	Estado de Emergência
q38	Visita oficial do Presidente de Portugal
q39	Telemóvel
q40	Brexit
q41	Covid-19
q42	Presidência de Portugal interações com o povo
q43	Ciclismo
q44	Universidade da Beira Interior
q45	Donald Trump
q46	Marcelo Rebelo de Sousa
q47	Vila Nova de Gaia
q48	Médicos
q49	Universidade de Lisboa
q50	Escola
q51	Papa Francisco
q52	Corrida
q53	Expressões faciais de felicidade
q54	Presidente de Portugal em eventos públicos
q55	Apoio do Presidente de Portugal a iniciativas locais
q56	Amália Rodrigues
q57	Expressões de empatia e compreensão
q58	Angela Merkel
q59	Encontros bilaterais do Presidente de Portugal
q60	Barack Obama
q61	Assembleia da República
q62	Presidente de Portugal com líderes mundiais
q63	Emoções de preocupação em rostos
q64	Hospital
q65	Cozinheiros
q66	Presidente de Portugal com líderes internacionais
q67	Cristiano Ronaldo
q68	Presidente de Portugal a visitar escolas
q69	Pessoas a estudar
q70	Lisboa
q71	Museu
q72	Livro
q73	Eventos culturais promovidos pela presidência de Portugal
q74	Funchal
q75	Bandeira
q76	Universidade do Porto
q77	Porto
q78	Pessoas a trabalhar
q79	Surf
q80	Algarve
